Country,LIFE_LADDER,DEM_QUALITY,CONF_NATIONAL_GOV
Macedonia,5.160667896,-0.271333508,0.312194631
Dominican Republic,5.150280476,0.217200369,0.49822934
Bosnia and Herzegovina,5.149021626,-0.260664642,0.203205042
Tajikistan,5.113965988,-1.229140341,0.859529316
Indonesia,5.089562654,-0.166144632,0.723032951
Bhutan,5.082128525,0.469944537,0.946393013
Nigeria,5.076241255,-1.110243499,0.412342191
Mongolia,5.019859791,0.564231753,0.288068883
Somaliland region,5.010792971,-2.136502385,0.739661127
Nepal,4.955988169,-0.610251427,0.479654953
Cameroon,4.927098513,-0.980195433,0.617428809
Kyrgyzstan,4.880954981,-0.608006626,0.555931419
Bulgaria,4.851480961,0.227980748,0.235459544
South Africa,4.828532696,0.238545991,0.533558995
Tunisia,4.826532602,-0.344369769,0.413853005
Sierra Leone,4.820785522,-0.163800731,0.676510066
Venezuela,4.804957628,-1.057277024,0.188339382
Gabon,4.746388435,-0.476264507,0.374064416
Iran,4.701343298,-1.142479837,0.731373996
Egypt,4.659639597,-1.331652045,0.695371836
Sri Lanka,4.611606598,-0.102882259,0.739669859
Senegal,4.60576725,0.067505736,0.626737386
Zambia,4.59535408,-0.008876365,0.663997322
Bangladesh,4.594807386,-0.880784333,0.803020298
Albania,4.558875799,0.230042428,0.453944102
Mozambique,4.549767494,-0.391963154,0.706727743
Ivory Coast,4.493792295,-0.605948448,0.679326177
Iraq,4.452957153,-1.669023275,0.426884025
Ethiopia,4.435501814,-1.452938914,0.787643492
Myanmar,4.423483133,-0.968096614,0.850885391
Congo (Brazzaville),4.405161858,-0.817266166,0.491172791
Kenya,4.376872778,-0.716358095,0.662821382
Armenia,4.336895704,-0.501688197,0.177820452
Burkina Faso,4.312282324,-0.407832533,0.66589424
Cambodia,4.311712027,-0.50641492,0.736272335
Mali,4.299063206,-0.904924005,0.548557192
Georgia,4.285163403,-0.065267459,0.299434215
India,4.260628223,-0.265263557,0.713410676
Ghana,4.250163794,0.235933095,0.479066014
Uganda,4.235473871,-0.702703923,0.637840182
Congo (Kinshasa),4.212338567,-1.760651529,0.278074473
Mauritania,4.197406769,-0.772975564,0.251380809
Chad,4.176012754,-1.215238988,0.479459733
Afghanistan,4.101511598,-1.881028533,0.292773351
Ukraine,3.996616602,-0.978808612,0.104978558
Niger,3.953049779,-0.675544798,0.574245244
Togo,3.823440194,-0.409003049,0.493280008
Benin,3.816010952,0.208993927,0.575875789
Lesotho,3.808204889,-0.109219924,0.609269023
Zimbabwe,3.71929574,-0.878060758,0.644678205
Malawi,3.672065496,0.000857868,0.560568094
Botswana,3.630450726,0.748883992,0.811174363
Madagascar,3.627799988,-0.368038893,0.486301988
Guinea,3.553774118,-0.596099377,0.537991807
South Sudan,3.479441762,-2.014863431,0.482760608
Haiti,3.461031318,-0.71838519,0.221591376
Yemen,3.404152393,-2.162281275,0.265439093
Rwanda,3.332989931,-0.632573783,0.993604362
Tanzania,3.281665802,-0.30805403,0.791940629
Liberia,3.028133631,-0.420204774,0.508517593
Central African Republic,2.693061113,-1.433270812,0.748754561
