Country,Happiness_Index_2018,Happiness_Index_2010,CHANGE
Latvia,5.933100224,4.906704426,1.026395798
Japan,5.914999962,5.926728725,-0.011728764
South Korea,5.874899864,5.71641922,0.158480644
Russia,5.809700012,5.387449265,0.422250748
Kazakhstan,5.790100098,5.5928092,0.197290897
Cyprus,5.762499809,6.535498142,-0.772998333
Bolivia,5.751900196,5.722403049,0.029497147
Estonia,5.739200115,5.294420242,0.444779873
Paraguay,5.680600166,5.662205219,0.018394947
Peru,5.663199902,5.420637608,0.242562294
Kosovo,5.662099838,5.526371956,0.135727882
Moldova,5.639699936,5.548935413,0.090764523
Turkmenistan,5.636199951,6.567690849,-0.931490898
Hungary,5.619999886,4.809715748,0.810284138
Philippines,5.524099827,4.803919792,0.720180035
Honduras,5.504000187,5.772886753,-0.268886566
Belarus,5.483300209,5.517203808,-0.033903599
Turkey,5.482500076,5.274140358,0.208359718
Pakistan,5.472499847,5.002279758,0.470220089
Hong Kong S.A.R. of China,5.430399895,5.392811775,0.03758812
Portugal,5.410399914,5.3020854,0.108314514
Serbia,5.398200035,4.420575142,0.977624893
Greece,5.357900143,5.939208508,-0.581308365
Tajikistan,5.352499962,4.675165176,0.677334785
Montenegro,5.347499847,5.126541615,0.220958233
Croatia,5.321199894,5.518866539,-0.197666645
Dominican Republic,5.301799774,5.003935337,0.297864437
Algeria,5.29460001,5.46352911,-0.1689291
Morocco,5.25369978,4.383234024,0.870465755
China,5.245800018,4.654289246,0.591510773
Azerbaijan,5.200600147,4.537259579,0.663340569
Lebanon,5.198900223,5.014177322,0.1847229
Macedonia,5.184800148,4.304616928,0.88018322
Jordan,5.160699844,5.614027023,-0.453327179
Nigeria,5.155399799,4.892589092,0.262810707
Kyrgyzstan,5.13079977,4.934402466,0.196397305
Bosnia and Herzegovina,5.129399776,4.81604147,0.313358307
Mongolia,5.124599934,4.539620399,0.584979534
Vietnam,5.103199959,5.360993862,-0.257793903
Indonesia,5.092599869,5.252996922,-0.160397053
Cameroon,4.975299835,4.530220509,0.445079327
Bulgaria,4.933100224,3.912251949,1.020848274
Nepal,4.880400181,4.569545269,0.310854912
Venezuela,4.805600166,6.972726822,-2.167126656
Palestinian Territories,4.743299961,4.545993328,0.197306633
South Africa,4.723999977,5.072079659,-0.348079681
Iran,4.706600189,5.129026413,-0.422426224
Ivory Coast,4.671199799,4.197172642,0.474027157
Ghana,4.657000065,4.590597153,0.066402912
Senegal,4.631100178,4.463358879,0.167741299
Laos,4.623099804,5.044057846,-0.420958042
Tunisia,4.592400074,5.096392632,-0.503992558
Albania,4.585999966,5.377440929,-0.791440964
Sierra Leone,4.570600033,3.564932585,1.005667448
Congo (Brazzaville),4.558700085,3.819820881,0.738879204
Bangladesh,4.500400066,4.997879982,-0.497479916
Sri Lanka,4.470600128,4.205702305,0.264897823
Iraq,4.455599785,4.854475975,-0.39887619
Mali,4.447000027,3.951173306,0.495826721
Cambodia,4.432600021,4.238930225,0.193669796
Burkina Faso,4.424399853,3.941995621,0.482404232
Egypt,4.419199944,4.821022511,-0.401822567
Mozambique,4.416600227,4.653574467,-0.236974239
Kenya,4.409699917,4.133653641,0.276046276
Zambia,4.377099991,4.994266987,-0.617166996
Mauritania,4.355500221,4.561423779,-0.205923557
Georgia,4.340499878,4.023860455,0.316639423
Armenia,4.320600033,4.398984432,-0.078384399
Chad,4.300600052,4.004940987,0.295659065
Congo (Kinshasa),4.244900227,3.983802795,0.261097431
India,4.189799786,4.8874259,-0.697626114
Niger,4.165500164,4.201082706,-0.035582542
Uganda,4.16079998,4.457855225,-0.297055244
Benin,4.14139986,3.667175293,0.474224567
Sudan,4.138700008,4.444970131,-0.306270123
Ukraine,4.102900028,5.13308239,-1.030182362
Togo,3.998500109,2.807854414,1.190645695
Madagascar,3.773600101,4.640049696,-0.866449594
Zimbabwe,3.692300081,3.97058773,-0.278287649
Afghanistan,3.631500006,4.319837809,-0.688337803
Botswana,3.589799881,4.500904799,-0.911104918
Malawi,3.586800098,5.148276806,-1.561476707
Haiti,3.582000017,3.805927753,-0.223927736
Liberia,3.495399952,4.208724737,-0.713324785
Syria,3.461899996,4.862595081,-1.400695086
Rwanda,3.40809989,4.195780277,-0.787680387
Yemen,3.354899883,4.578677416,-1.223777533
Tanzania,3.303499937,3.669239521,-0.365739584
Central African Republic,3.082999945,3.567894936,-0.484894991
Burundi,2.904500008,3.677524567,-0.773024559
